name,city,address,phone,email,website,rating,specialization
Anantaya's | Architects and Interior Designers,Delhi,"PEARLS BUSINESS PARK, 104, Netaji Subhash Place, Pitampura, New Delhi",+91 88004 11794,,https://anantayasarchitects.com,4.9,"Architecture, Interior Design"
Archfy Architect,Delhi,"Basement floor, National Market, 487/36, Peera Garhi, Peeragarhi Village, Paschim Vihar, New Delhi",+91 70534 49689,,https://www.archfy.com,4.8,"Architecture, Interior Design"
3D - Space Interiors,Delhi,"C-8/49, near Gurudwara, Pocket 8, Sector 8, Rohini, New Delhi",+91 98913 90186,,http://www.3dspaceinteriors.com,4.8,Interior Design
Dezine Innovation,Delhi,"A - 298, near PVR CINEMAS, A Block, Prashant Vihar, Sector 14, Rohini, New Delhi",+91 98116 88608,,http://www.dezineinnovation.com,4.7,"Interior Design, Architecture"
ADPL | Aggarwal Designers Pvt. Ltd.,Delhi,"364, 3rd Floor , Aggarwal City Plaza, Mangalam Place, near BTW, Sector 3, Rohini",+91 92121 14614,,https://www.adpl.net.in,4.4,"Architecture, Interior Design"
AGAMI ATELIER,Delhi,"255 - First Floor, Pocket 17, Sector 7, Rohini, Delhi",+91 99901 89895,,http://www.agamiatelier.com,5.0,"Interior Design, Furniture"
Umang Architects,Delhi,"1st Floor, Vardhman Shopping Complex, 101, Rohit Kunj, Market, Pitampura, Delhi",+91 87503 15281,,https://umangarchitects.com,4.9,"Interior Design, Architecture"
Baljeet And Associates,Delhi,"116, Vats Market, Pitampura, Near Mahubadan Chowk, Delhi",+91 98110 40852,,https://www.baljeetandassociates.org,4.7,"Architecture, Interior Design"
Amartya Architects,Delhi,"B-4/238, Pocket 4, Sector 7, Rohini, New Delhi",+91 89292 91931,,http://www.amartyarchitects.com,4.9,Architecture
S.S.ENGINEERS & ARCHITECTS,Delhi,"GROUND FLOOR, PLOT NO 68, near SHIV CHOCK, Pocket 1, Sector-20, Rohini",+91 98738 76689,,http://www.ssenggzone.com,4.8,"Architecture, Civil Engineering"
Design Kutumb,Delhi,"C-5/88, Sector 6 Rd, Pocket D-6, Pocket 5, Sector 6, Rohini",+91 88600 02285,,https://designkutumb.com,4.8,Architecture
Abinitio Architects and Planners,Delhi,"Level-4, #27, Hauz Khas Village, New Delhi-16",011-68123455,info@abinitioarch,http://www.abinitioarchitects.com/,0.0,"Architecture, Planning"
HKS India Design Consulting Pvt. Ltd.,Delhi,"Ocus Technopolis Tower B, Second Floor, Haryana, 122002",0124-4499555,gchopra@hksinc.c,http://www.hksinc.com/,0.0,Design Consulting
Design plus architecture,Delhi,"703-704, Padma Tower - 1, New Delhi - 110008",011 4161 3855,shikhakhullar@des,http://www.designplus.org.in/,0.0,Architecture
KGD architecture,Delhi,"D-21, Connaught Place, New Delhi - 110001",+91 80 6712 5000,hr@kgd-architectu,http://kgd-architecture.com,0.0,Architecture
Bose brother architects,Delhi,"D-21, Connaught Place, New Delhi - 110001",23418560,bosebros@gmail.c,http://www.bosebrothersarchitects.com/,0.0,Architecture
Atrium architecture,Delhi,"303, 3rd Floor, 85-A, Zamrudpur, Greater Kailash-1, New Delhi",9810035514,atriumarchitects@,http://www.atriumarchitects.in/,0.0,"Architecture, Interiors"
